id	country	designation	points	price	province	region_1	region_2	variety	winery	Cluster
141831	France		84	9.00	Provence	Côtes de Provence		Rosé	Baron Gassier	C1
139764	Italy	Burdese	92	39.00	Sicily & Sardinia	Sicilia		Red Blend	Planeta	C3
39764	Italy		86	15.00	Tuscany	Toscana		Sémillon	Fornacelle	C1
116473	US		82	8.00	Washington	Columbia Valley (WA)	Columbia Valley	Cabernet Sauvignon	Washington Hills	C1
73382	Chile	Orzada	90	20.00	Cauquenes Valley			Carignan	Odfjell	C1
130547	Italy	Messorio	94	250.00	Tuscany	Bolgheri		Merlot	Le Macchiole	C2
105156	US	Piner Creek Ranch Dry	90	30.00	California	Russian River Valley	Sonoma	Gewürztraminer	Halleck	C3
33985	Argentina		83	14.00	Mendoza Province	Mendoza		Merlot	Noble Aconcagua	C1
112425	US		83	16.00	New York	Finger Lakes	Finger Lakes	Cabernet Sauvignon	Fulkerson	C1
10799	Austria	Heiligenstein Erste Lage	94	38.00	Kamptal			Riesling	Bründlmayer	C3
78659	Italy	Terre di Ginestra BlanQ	87	18.00	Sicily & Sardinia	Sicilia		White Blend	Calatrasi	C1
87096	Austria	Rabenstein Reserve	91	27.00	Weinviertel			Grüner Veltliner	Dürnberg	C3
110345	France	Brut	90	18.00	Burgundy	Crémant de Bourgogne		Sparkling Blend	Léonce Bocquet	C1
88237	Italy	Sassomagno	88	15.00	Tuscany	Sant'Antimo		Sangiovese	Fanti	C1
41662	US	Bien Nacido Vineyard	87	50.00	California	Santa Maria Valley	Central Coast	Pinot Noir	Twomey	C4
40888	US	Flying & Falling	92	32.00	New York	North Fork of Long Island	Long Island	Cabernet Franc	Southold	C3
76540	US		87	18.00	Washington	Columbia Valley (WA)	Columbia Valley	Riesling	Southard	C1
97727	Germany	Grünlack Spätlese Trocken	88	50.00	Rheingau			Riesling	Schloss Johannisberger	C4
57456	Italy	Albatro	86	39.00	Tuscany	Toscana		Red Blend	Máté	C3
143103	US		83	18.00	California	Sonoma County	Sonoma	Cabernet Sauvignon	Kenwood	C1
104573	Argentina		85	15.00	Other	Neuquén		Pinot Noir	Valle Perdido	C1
142417	France		87	11.00	Rhône Valley	Costières de Nîmes		Rosé	Domaine de la Petite Cassagne	C1
33209	US		86	52.00	California	Napa Valley	Napa	Cabernet Sauvignon	Stags' Leap Winery	C4
111194	France		88	17.00	Bordeaux	Saint-Estèphe		Bordeaux-style Red Blend	Château Lilian Ladouys	C1
75968	US	Estate	89	21.00	California	Russian River Valley	Sonoma	Zinfandel	Balletto	C1
54722	US	Carlisle Vineyard	90	34.00	California	Russian River Valley	Sonoma	Zinfandel	Novy	C3
1263	France	Cuvée Réservée	85	63.00	Rhône Valley	Châteauneuf-du-Pape		Rhône-style White Blend	Domaine du Pegau	C4
135297	France	La Patache	85	12.00	Bordeaux	Médoc		Cabernet Sauvignon	Domaines Lapalu	C1
92798	Austria	Steinwand Federspiel	88	19.00	Wachau			Grüner Veltliner	Schmelz	C1
74714	Italy		85	26.00	Tuscany	Chianti Classico		Red Blend	Rocca di Montegrossi	C3
62916	US	RTW	87	13.00	Washington	Columbia Valley (WA)	Columbia Valley	Red Blend	Cayalla	C1
135426	US	Elerding Vineyard Double Barrel	88	35.00	Washington	Columbia Valley (WA)	Columbia Valley	Cabernet Sauvignon	Barrage Cellars	C3
51141	US	Ten Degrees	98	100.00	California	Anderson Valley	Mendocino/Lake Counties	Pinot Noir	Goldeneye	C2
37781	US	Westside Road Neighbors	89	69.00	California	Russian River Valley	Sonoma	Pinot Noir	Williams Selyem	C4
28892	Italy	Extra Dry Rosè	86	20.00	Veneto	Veneto		Pinot Nero	Bacio della Luna	C1
43286	US	Brut Rosé	92	36.00	California	Carneros	Napa-Sonoma	Sparkling Blend	Domaine Carneros	C3
31866	Germany	Abstberg Auslese Nr. 84	91	54.00	Mosel			Riesling	Maximin Grünhäuser	C4
29676	Portugal		85	8.00	Vinho Verde			Portuguese White	FVine	C1
38537	US	Josephine + Mariposa	91	26.00	California	Sierra Foothills	Sierra Foothills	Rhône-style Red Blend	La Clarine Farm	C3
59848	South Africa	Estate	88	43.00	Stellenbosch			Red Blend	Rust en Vrede	C4
126953	Chile	Estate Bottled	82	7.00	Colchagua Valley			Merlot	La Playa	C1
8068	France	Cuvée Compostelle	86	25.00	Bordeaux	Castillon Côtes de Bordeaux		Bordeaux-style Red Blend	Château Côte Montpezat	C3
139568	US	Bel Canto	90	60.00	Washington	Red Mountain	Columbia Valley	Bordeaux-style Red Blend	Cadence	C4
55465	US	Whitie's D9 A Big Bold	83	50.00	Virginia	Virginia		Red Blend	Tarara	C4
58690	South Africa	Beyond	90	12.00	Coastal Region			Sauvignon Blanc	Buitenverwachting	C1
40867	US	Estate Reserve	92	25.00	California	Paso Robles	Central Coast	Merlot	San Simeon	C3
28908	Italy	Lunetta	86	14.00	Veneto	Prosecco		Glera	Cavit	C1
11944	Italy	Carlo Hauner	90	18.00	Sicily & Sardinia	Terre Siciliane		White Blend	Hauner	C1
109279	France	Vieilles Vignes Old Vines Chardonnay	88	14.00	Burgundy	Mâcon-Villages		Chardonnay	Mommessin	C1
16142	US		88	24.00	California	Sonoma County	Sonoma	Cabernet Sauvignon	St. Francis	C3
133660	Spain	Pago Negralada	84	110.00	Northern Spain	Vino de la Tierra de Castilla y León		Tempranillo	Abadia Retuerta	C2
150138	Chile		86	8.00	Maipo Valley			Cabernet Sauvignon	Morandé	C1
69559	Argentina		80	12.00	Mendoza Province	San Rafael		Sauvignon Blanc	Alfredo Roca	C1
143237	US	Block Collection Preston Vineyard	90	19.00	California	Dry Creek Valley	Sonoma	Viognier	Geyser Peak	C1
144726	US	Conner Lee Vineyards	90	18.00	Washington	Columbia Valley (WA)	Columbia Valley	Chardonnay	Sapphire Mountain Cellars	C1
108799	US	Carneros Selection	93	32.00	California	Carneros	Napa-Sonoma	Chardonnay	Gary Farrell	C3
47492	US	Sierra Madre Vineyard	94	54.00	California	Santa Maria Valley	Central Coast	Pinot Noir	Testarossa	C4
114045	Chile	Marques de Casa Concha	89	18.00	Pirque			Chardonnay	Concha y Toro	C1
9844	Italy	Sessantanni Old Vines	88	42.00	Southern Italy	Primitivo di Manduria		Primitivo	Feudi di San Marzano	C3
96910	US		90	10.00	Washington	Columbia Valley (WA)	Columbia Valley	Merlot	Kirkland Signature	C1
109062	Argentina	D'Autor	87	50.00	Mendoza Province	Mendoza		Red Blend	Santa Faustina	C4
15790	Austria		89	15.00	Burgenland			Austrian Red Blend	Gunter Triebaumer	C1
92875	France	Brut	84	20.00	Alsace	Crémant d'Alsace		Chardonnay	Ehrhart	C1
78349	Italy		87	15.00	Sicily & Sardinia	Sicilia		Nero d'Avola	Cantine Barbera	C1
71533	US	Catie's Corner Vineyard	87	25.00	California	Russian River Valley	Sonoma	Viognier	Lost Canyon	C3
76601	US		88	35.00	Oregon	Willamette Valley	Willamette Valley	Pinot Noir	Anne Amie	C3
97305	Italy		87	14.00	Tuscany	Chianti Classico		Sangiovese	Straccali	C1
92173	US	H3	87	15.00	Washington	Horse Heaven Hills	Columbia Valley	Chardonnay	Columbia Crest	C1
132887	Portugal	Reserva	90	16.00	Ribatejano			Portuguese Red	Quinta da Alorna	C1
27275	Australia	Prelude Vineyards	91	36.00	Western Australia	Margaret River		Chardonnay	Leeuwin Estate	C3
2765	Italy		86	24.00	Tuscany	Bolgheri		Red Blend	Giorgio Meletti Cavallari	C3
130983	Italy		88	38.00	Northeastern Italy	Venezia Giulia		Verduzzo	Bressan	C3
67494	Italy		86	18.00	Northeastern Italy	Colli Orientali del Friuli		Sauvignon	Colutta	C1
82992	Chile	Reserva	81	14.00	Central Valley			Sauvignon Blanc	Arauco	C1
55417	Argentina	Guarda	85	22.00	Mendoza Province	Mendoza		Malbec	Sinfin	C1
32015	Italy	Aves	89	30.00	Piedmont	Barbera d'Alba		Barbera	Comm. G. B. Burlotto	C3
112957	US		86	35.00	California	Dry Creek Valley	Sonoma	Cabernet Sauvignon	Merriam	C3
137827	France	Blason Brut Rosé	87	80.00	Champagne	Champagne		Champagne Blend	Perrier Jouët	C2
13105	Italy	1698	89	32.00	Tuscany	Bolgheri		Red Blend	Tringali Casanuova	C3
16581	Australia		84	7.00	Australia Other	South Eastern Australia		Chardonnay	Outback Chase	C1
105248	US		87	32.00	California	Paso Robles	Central Coast	Meritage	Dunning Vineyards	C3
95623	US		90	26.00	Washington	Columbia Valley (WA)	Columbia Valley	Syrah	Bergevin Lane	C3
124870	US	Mesa Verde Vineyard	90	20.00	California	Santa Barbara County	Central Coast	Syrah	Brander	C1
28052	US	Eagle Peak	88	10.00	California	California	California Other	Merlot	Fetzer	C1
80060	US	Red Dog Vineyard	87	48.00	California	Sonoma Mountain	Sonoma	Pinot Noir	Talisman	C4
137264	US		87	35.00	California	Russian River Valley	Sonoma	Pinot Noir	Longboard	C3
12074	US	Winderlea Legacy	92	75.00	Oregon	Dundee Hills	Willamette Valley	Pinot Noir	Winderlea	C4
111088	US	Rosemary's Vineyard	97	70.00	California	Arroyo Grande Valley	Central Coast	Pinot Noir	Talley	C4
65581	New Zealand		88	12.00	Hawke's Bay			Sauvignon Blanc	Glazebrook	C1
128710	Spain	Malleolus	92	50.00	Northern Spain	Ribera del Duero		Tinto del Pais	Emilio Moro	C4
132311	Spain		88	9.00	Levante	Jumilla		Red Blend	Bodegas Luzón	C1
140268	US	Bianco Di California	84	10.00	California	California	California Other	White Blend	Ca' Momi	C1
132890	Italy	Conte Ferdinando Guicciardini	90	24.00	Tuscany	Colli della Toscana Centrale		Syrah	Castello di Poppiano	C3
113479	US	Via Della Vigna	90	40.00	California	Paso Robles	Central Coast	Red Blend	La Filice	C3
108145	France		86	20.00	Bordeaux	Bordeaux		Bordeaux-style Red Blend	Château Lalande Balestard	C1
125065	US	Los Chamizal Vineyard	88	35.00	California	Sonoma Valley	Sonoma	Chardonnay	Deerfield Ranch	C3
23833	France	Les Folatières Premier Cru	94	80.00	Burgundy	Puligny-Montrachet		Chardonnay	Louis Jadot	C2
2315	US	Verah	90	35.00	California	Dry Creek Valley	Sonoma	Rhône-style Red Blend	Mounts	C3
70634	US		85	26.00	California	Yountville	Napa	Cabernet Sauvignon	Charles Krug	C3
145513	Australia	Diamond Label	87	12.00	Australia Other	South Eastern Australia		Pinot Noir	Rosemount	C1
65615	France	Bougros Grand Cru	94	75.00	Burgundy	Chablis		Chardonnay	William Fèvre	C4
28909	US	Church Creek Steel	86	16.00	Virginia	Virginia		Chardonnay	Chatham	C1
90690	US		90	20.00	Oregon	Columbia Valley (OR)	Oregon Other	Sauvignon Blanc	Sineann	C1
125818	Italy	Sibilla Appeninica Vin Santo	88	35.00	Central Italy	Marche		Passerina	Le Caniette	C3
127251	US		81	18.00	Kentucky	Kentucky		Chardonnay	Elk Creek Vineyards	C1
79352	Italy		87	14.00	Southern Italy	Beneventano		Falanghina	Vinosia	C1
115870	US	Lot 165	85	15.00	California	Los Carneros	Napa-Sonoma	Pinot Noir	Cameron Hughes	C1
78907	US	East Ridge Estate Vineyard	94	85.00	California	Sonoma Coast	Sonoma	Pinot Noir	Hirsch	C2
144248	US	Annabella Special Selection	84	14.00	California	Napa Valley	Napa	Merlot	Michael Pozzan	C1
87301	France		90	63.00	Burgundy	Chassagne-Montrachet		Chardonnay	Bouchard Père & Fils	C4
120862	US	Winfield Vineyard	92	80.00	California	Napa Valley	Napa	Cabernet Sauvignon	The Grade	C2
102885	US	Rooster Vineyard	86	22.00	California	Clear Lake	Mendocino/Lake Counties	Sauvignon Blanc	Musetta	C1
28456	Italy	Catulliano	89	16.00	Lombardy	Lugana		Turbiana	Pratello	C1
44951	France	Cuvée la Fleur Tabenot	85	20.00	Bordeaux	Côtes de Castillon		Bordeaux-style Red Blend	Château Hyot	C1
118471	US	White	83	10.00	California	California	California Other	White Blend	Big House	C1
91598	US		88	24.00	Oregon	Rogue Valley	Southern Oregon	Tempranillo	David Hill	C3
86029	US	Spofford Station	86	25.00	Oregon	Walla Walla Valley (OR)	Oregon Other	Cabernet Sauvignon	Lujon	C3
18712	Italy	La Bambina	86	15.00	Sicily & Sardinia	Sicilia		Rosé	Cantine Barbera	C1
1668	France	Cuvée des Conti	88	16.00	Southwest France	Bergerac Sec		Bordeaux-style White Blend	Château Tour des Gendres	C1
109036	Italy		85	110.00	Tuscany	Bolgheri Superiore		Red Blend	Grattamacco	C2
68282	US		85	18.00	California	Russian River Valley	Sonoma	Pinot Noir	Kenwood	C1
81347	US	Signature Collection	85	29.00	Oregon	Oregon	Oregon Other	Pinot Noir	King Estate	C3
107947	France	La Cuvée des Cigales	84	11.00	Languedoc-Roussillon	Vin de Pays des Coteaux de Murviel		Merlot-Grenache	Borie la Vitarelle	C1
68069	US	Claret	85	20.00	Washington	Wahluke Slope	Columbia Valley	Red Blend	Gilbert Cellars	C1
20867	US	Claret	88	35.00	California	Napa Valley	Napa	Cabernet Sauvignon	Bell	C3
43566	France	Cuvée Clarendon	92	22.00	Provence	Côtes de Provence		Rosé	Domaine Gavoty	C3
106572	South Africa	Brut	85	15.00	Western Cape			Champagne Blend	Graham Beck	C1
123714	US	Twenty Three Barrels	90	32.00	California	Sonoma County	Sonoma	Cabernet Sauvignon	Spann Vineyards	C3
60217	US	Alta Coma	88	40.00	California	Mendocino	Mendocino/Lake Counties	Sangiovese	Lookout Ridge	C3
25232	France	Cuvée Jean	88	30.00	Southwest France	Jurançon		Petit Manseng	Château Jolys	C3
143469	Australia		86	20.00	South Australia	McLaren Vale		Sauvignon Blanc	Geoff Merrill	C1
65731	New Zealand		87	20.00	Marlborough			Pinot Gris	Fairhall Downs	C1
43340	Italy	Morello di Prile	89	22.00	Tuscany	Maremma		Red Blend	Prelius	C1
64080	Australia	Merlot-Cabernet Sauvignon-Cabernet Franc	87	18.00	Western Australia	Pemberton		Bordeaux-style Red Blend	Picardy	C1
5012	US	Mayhem	90	56.00	California	Paso Robles	Central Coast	Syrah	Ascencion	C4
109502	US		94	23.00	California	Santa Barbara County	Central Coast	Chardonnay	Rusack	C3
120849	New Zealand	Taylors Pass Vineyard	92	25.00	Marlborough			Sauvignon Blanc	Villa Maria	C3
99627	Italy	Tasmorcan	88	18.00	Piedmont	Barbera d'Asti		Barbera	Elio Perrone	C1
135253	Spain	Reserva	87	49.00	Northern Spain	Ribera del Duero		Tempranillo	Alidis	C4
97333	Spain	Finca Vallobera	90	32.00	Northern Spain	Rioja		Tempranillo Blend	Vallobera	C3
129807	US	E. Passalacqua Heritage Estate	90	26.00	California	Russian River Valley	Sonoma	Zinfandel	Gia Domella	C3
138607	US		85	11.00	California	Santa Barbara County	Central Coast	Gewürztraminer	Firestone	C1
129121	New Zealand		84	20.00	Marlborough			Pinot Noir	Seven Terraces	C1
855	US	The Diva	90	45.00	California	Santa Lucia Highlands	Central Coast	Pinot Noir	Chateau Lettau	C4
119649	Argentina		81	15.00	Other	Neuquén		Pinot Noir	Areo	C1
98076	France	Seigneurs de Bergerac	83	11.00	Southwest France	Bergerac		Rosé	Yvon Mau	C1
64684	Australia		85	10.00	South Australia	South Australia		Chardonnay	Barossa Valley Estate	C1
82858	US	Elements by Artesa	84	20.00	California	Napa County-Sonoma County	Napa-Sonoma	Red Blend	Elements by Artesa	C1
144855	Spain	Reserva	81	13.00	Northern Spain	Navarra		Tempranillo	Palacio de La Vega	C1
14549	US		85	30.00	California	Alexander Valley	Sonoma	Chardonnay	Terra Sonoma	C3
4289	Italy		88	50.00	Tuscany	Brunello di Montalcino		Sangiovese	Belpoggio	C4
87409	France	Grand Cru Blanc de Blancs Réserve Brut	91	48.00	Champagne	Champagne		Chardonnay	Chapuy	C4
99302	Italy	Bricco Dani	88	30.00	Piedmont	Barbera d'Asti Superiore Nizza		Barbera	Villa Giada	C3
73772	US	Rosé of	86	17.00	Oregon	Chehalem Mountains	Willamette Valley	Pinot Noir	Carabella	C1
95614	Italy	Riserva Il Falcone	90	33.00	Southern Italy	Castel del Monte		Red Blend	Rivera	C3
12369	Italy		87	42.00	Southern Italy	Puglia		Red Blend	Cefalicchio	C3
56744	New Zealand		89	13.00	Marlborough			Sauvignon Blanc	Clifford Bay	C1
20251	France	Barrel Selection	86	11.00	Languedoc-Roussillon	Pays d'Oc		Chardonnay	La Forge Estate	C1
72200	Israel	Grand Vin	91	75.00	Haut-Judeé			Bordeaux-style Red Blend	Domaine du Castel	C4
149290	US	Highlands Estate Alisos Hills	93	30.00	California	Santa Barbara County	Central Coast	Syrah	Kendall-Jackson	C3
140975	Spain	Gran Reserva	86	20.00	Northern Spain	Rioja		Tempranillo	Campo Viejo	C1
84077	US	Upper Barn	91	60.00	California	Alexander Valley	Sonoma	Chardonnay	Stonestreet	C4
85142	Chile	Selección	82	15.00	Maipo Valley			Sauvignon Blanc	Viña Chocalan	C1
59944	US	Oriana White	90	24.00	Washington	Columbia Valley (WA)	Columbia Valley	White Blend	Brian Carter Cellars	C3
119775	US	Rancho Ontiveros Vineyard	94	55.00	California	Santa Maria Valley	Central Coast	Pinot Noir	Native 9	C4
45339	US		90	28.00	Washington	Columbia Valley (WA)	Columbia Valley	Merlot	Tamarack Cellars	C3
54429	US	Champoux & Loess Vineyards Reserve	90	100.00	Washington	Washington	Washington Other	Cabernet Sauvignon	Boudreaux Cellars	C2
119333	South Africa		87	30.00	Constantia			Sauvignon Blanc	Constantia Glen	C3
88949	France	Les Evocelles	91	64.00	Burgundy	Gevrey-Chambertin		Pinot Noir	Domaine de la Vougeraie	C4
120981	Australia	Classic	82	12.00	Victoria	Victoria		Shiraz	Marquee	C1
62307	US	Sarmento Vineyard	87	30.00	California	Santa Lucia Highlands	Central Coast	Pinot Noir	Aliento Del Sol	C3
25770	US	Holbrook Mitchell Vineyard	86	32.00	California	Napa Valley	Napa	Cabernet Franc	Rock Wall	C3
65040	US		90	15.00	California	Russian River Valley	Sonoma	Sauvignon Blanc	Angeline	C1
110313	Italy	Punta di Villa	87	30.00	Veneto	Amarone della Valpolicella Classico		Corvina, Rondinella, Molinara	Mazzi	C3
112624	US	1772 Edna Ranch	91	42.00	California	Edna Valley	Central Coast	Chardonnay	Tolosa	C4
38344	US	Estate Grown	83	28.00	Oregon	Rogue Valley	Southern Oregon	Merlot	Del Rio	C3
1462	Spain	Selecció	90	32.00	Catalonia	Terra Alta		Red Blend	Edetària	C3
82148	US		87	15.00	Washington	Columbia Valley (WA)	Columbia Valley	Chardonnay	Apex	C1
98486	US	Rancho La Viña Vineyard	87	54.00	California	Sta. Rita Hills	Central Coast	Pinot Noir	Pali	C4
32702	US	Clone 828	88	58.00	California	Sonoma Coast	Sonoma	Pinot Noir	Halleck	C4
26740	Germany	Bernkasteler alte Badstube am Doctorberg Trockenbeerenauslese - 375 ml	93	250.00	Mosel			Riesling	Dr. Pauly Bergweiler	C2
101955	Chile	1865 Single Vineyard	83	16.00	Maipo Valley			Cabernet Sauvignon	San Pedro	C1
53069	Germany		85	10.00	Mosel			Riesling	Ku Dé Ta	C1
112355	Spain	Gran Feudo Reserva	87	15.00	Northern Spain	Navarra		Tempranillo Blend	Bodegas Julián Chivite	C1
37629	Italy	500ml	87	40.00	Veneto	Recioto della Valpolicella Classico		Corvina, Rondinella, Molinara	Fabiano	C3
54988	Italy	Barocco	90	50.00	Sicily & Sardinia	Cerasuolo di Vittoria		Red Blend	Avide	C4
20717	Chile	EQ	88	20.00	San Antonio			Sauvignon Blanc	Matetic	C1
22771	France	Les Beaumonts Premier Cru	90	140.00	Burgundy	Vosne-Romanée		Pinot Noir	Louis Latour	C2
135020	US	Late Harvest Reserve	92	19.00	Washington	Rattlesnake Hills	Columbia Valley	Sauvignon Blanc	Silver Lake	C1
41060	Portugal	Grande Reserva Branco	88	18.00	Douro			Portuguese White	Quanta Terra	C1
47968	France		92	119.00	Burgundy	Gevrey-Chambertin		Pinot Noir	Domaine Henri Rebourseau	C2
122395	Italy	Maso delle Rose	88	27.00	Northeastern Italy	Alto Adige		Pinot Grigio	Josef Weger	C3
105129	Italy	Le More	86	15.00	Central Italy	Sangiovese di Romagna		Sangiovese	Castelluccio	C1
123595	Portugal	DFJ Caladoc/Alicante Bouschet	89	13.00	Lisboa			Portuguese Red	DFJ Vinhos	C1
30589	US		84	15.00	California	Sonoma County	Sonoma	Merlot	Cannonball	C1
36481	US		86	28.00	Oregon	Oregon	Oregon Other	Syrah	Obsidian	C3
57497	US	Starmont	92	27.00	California	Napa Valley	Napa	Cabernet Sauvignon	Merryvale	C3
78333	US	99W	87	19.00	Oregon	Willamette Valley	Willamette Valley	Pinot Noir	RouteStock Cellars	C1
76178	US	Vittorio's Vineyard	88	26.00	California	Redwood Valley	Mendocino/Lake Counties	Petite Sirah	Claudia Springs	C3
140131	US		86	20.00	California	Santa Ynez Valley	Central Coast	Sauvignon Blanc	Westerly	C1
47602	US		83	24.00	California	Santa Barbara County	Central Coast	Sangiovese	Morovino	C3
148025	France	Hautes Côtes de Beaune	82	29.00	Burgundy	Bourgogne		Pinot Noir	Didier Montchovet	C3
68700	Germany	QbA	84	14.00	Rheingau			Riesling	Baron Knyphausen	C1
73931	Italy	Nuhar	87	16.00	Sicily & Sardinia	Sicilia		Red Blend	Tenuta Rapitalà	C1
42134	Italy	Villa al Cortile	90	45.00	Tuscany	Brunello di Montalcino		Sangiovese Grosso	Piccini	C4
80120	US	Wavelength Sugarloaf Mountain Vineyard	92	69.00	California	Napa Valley	Napa	Syrah-Cabernet Franc	World's End	C4
22058	Spain	Juan de Valdelana	81	11.00	Northern Spain	Rioja		Tempranillo Blend	Valdelana	C1
14726	US	Artist Series I	88	20.00	New Mexico	New Mexico		Viognier	La Chiripada	C1
116121	France	Selection Château Labouré-Roi	84	17.00	Burgundy	Bourgogne		Pinot Noir	Labouré-Roi	C1
78259	Chile	1865 Single Vineyard	89	19.00	Leyda Valley			Sauvignon Blanc	San Pedro	C1
28058	Italy		88	25.00	Tuscany	Chianti Superiore		Red Blend	Donatella Cinelli Colombini	C3
115428	US		86	12.00	California	California	California Other	Pinot Grigio	Mirassou	C1
144968	US		90	40.00	California	Sonoma Coast	Sonoma	Pinot Noir	MacPhail	C3
39293	US		88	18.00	California	Santa Barbara County	Central Coast	Sauvignon Blanc	Alta Maria	C1
109031	Italy	Quercegobbe	86	50.00	Tuscany	Toscana		Merlot	Petra	C4
117172	US		82	50.00	New York	The Hamptons, Long Island	Long Island	Pinot Noir	Wölffer	C4
34649	US	Precious Mountain Vineyard	99	94.00	California	Sonoma Coast	Sonoma	Pinot Noir	Williams Selyem	C2
68615	US		88	24.00	California	Amador County	Sierra Foothills	Zinfandel	Robert Craig	C3
86539	US		82	17.00	California	Sonoma County	Sonoma	Cabernet Sauvignon	Q	C1
139294	Italy		87	28.00	Northeastern Italy	Collio		Sauvignon	Villa Russiz	C3
22812	Australia	Odyssey	88	43.00	South Australia	Coonawarra		Cabernet Sauvignon	Katnook Estate	C4
73073	Italy	Satén	87	24.00	Lombardy	Franciacorta		Chardonnay	Cà del Vént	C3
29142	US	Ancient Vine	93	25.00	California	Lodi	Central Valley	Cinsault	Michael David	C3
21949	Italy		83	9.00	Veneto	Valpolicella Classico		Corvina, Rondinella, Molinara	Begali	C1
64408	US	Vineyard Selection	87	16.00	Washington	Columbia Valley (WA)	Columbia Valley	Cabernet Sauvignon	Hogue	C1
114334	US	McDougall Vineyard	88	55.00	California	Sonoma Coast	Sonoma	Pinot Noir	Dutton-Goldfield	C4
14057	Chile	Casillero del Diablo Reserva Privada	87	14.00	Maipo Valley			Cabernet Sauvignon-Syrah	Concha y Toro	C1
92430	US		80	32.00	California	Paso Robles	Central Coast	Cabernet Sauvignon	Sculpterra	C3
125239	France		85	35.00	Burgundy	Bourgogne Hautes Côtes de Nuits		Chardonnay	Bertrand Ambroise	C3
33273	France		84	12.00	Bordeaux	Bordeaux		Bordeaux-style Red Blend	Château Haut Vieux Chêne	C1
16632	Italy	Altkirch	88	15.00	Northeastern Italy	Alto Adige		Chardonnay	Colterenzio	C1
67252	Italy	Il Poggio Riserva	87	44.00	Tuscany	Chianti Classico		Sangiovese	Castello di Monsanto	C4
